Niveau;Kanas;Kanjis;Francais
N2;チョーク;;craie
N1;ちょくちょく;;fréquemment, souvent
N2;ちょくつう;直通;direct (en parlant d'un trajet pour un train, un avion…)
N5;ちょっと;一寸;juste une minute, un petit peu, un instant, un moment
N1;ちらっと;;d'un coup d'œil, par inadvertance
N2;ちる;散る [亓段];tomber (des feuilles , des fleurs…), se disperser, s'éparpiller, se répandre
N1;ついきゅうする;追及する;interroger (dans un interrogatoire par la police par exemple), faire des recherches (sur l'innocence d'une personne par exemple)
N5;つかう;使う [亓段];interroger (dans un interrogatoire par la police parexemple), faire des recherches (sur l'innocence d'une personne par exemple)
N2;つきあう;付き吅う [亓段];fréquenter quelqu'un, accompagner quelqu'un, être d'accord avec quelqu'un
N3;つく;就く [亓段];être nommé, accéder à une position, prendre unsiège ou une position, partir, apprendre (sous la direction d'un enseignant à
N2;つく;付く [亓段];attacher, adhérer, coller, accompagner, s'allumer (pour la lumière), avoir de la chance
N1;つぐ;接ぐ [亓段];joindre, reconstituer, greffer (un arbre), immobiliser (un os cassé)
N4;つける;付ける・着ける [一段];coller, attacher, fixer, enfiler un vêtement, accompagner quelqu'un, allumer
N1;つつしむ;慎む [亓段];être attentionneux, être discret, s'abstenir, se restreindre
N1;つっぱる;突っ張る [亓段];soutenir, insister, se raidir, devenir tendu, maintenir (son opinion)
N3;つなぐ;繋ぐ [亓段];attacher, lier, connecter, transférer (un appel téléphonique)
N2;つなげる;繋げる [一段];attacher, lier, connecter, transférer (un appel téléphonique)
N1;つまむ;摘む [亓段];pincer, saisir, prendre quelque chose avec ses mains, ramasser
N1;てあて;手当て;indemnisation, dédommagement, allocation, soins médicaux
N2;ていいん;定員;capacité (d'un moyen de transport, d'un lieu), nombre de places
N3;ていしゅつ;提出;présentation, soumission (d'un rapport, d'un document…)
N1;データ;;données
N3;デート;;rendez-vous
N5;テープ;;bande magnétique, cassette audio
N5;テーブル;;table
N5;テープレコーダ;;magnétophone
N1;ておくれ;手遅れ;trop tard, tardif
N1;でかい;;gigantesque, énorme
N4;テキスト;;texte
N1;デコレーション;;décoration
N3;てきする;適する;convenir, être convenable, être approprié
N3;てきせつ;適切;pertinent, approprié, adéquat
N3;てきど;適度;modéré, mesuré
N4;てきとう;適当;approprié, convenable
N3;てきよう;適用;application, mise en pratique, utilisation
N5;できる;出来る [一段];être capable de faire, être fait
N2;てごろ;手頃 ;maniable, commode approprié, raisonnable, abordable
N4;できるだけ;出来るだけ;si possible, autant que possible
N5;でぐち;出口;sortie
N2;てくび;手首;poignet
N2;でこぼこ;凸凹;inégal (relief du terrain, du sol), rugueux
N2;てごろ;手頃;modéré, abordable, accessible
N1;デザート;;désert
N1;デザイン;;design
N3;ですから;;donc, par conséquent
N5;テスト;;test, essai
N2;てっきり;;certainement, sûrement, sans l'ombre d'un doute
N1;てっこう;鉄鋼;fer et acier
N1;デッサン;;dessin
N4;テニス;;tennis
N4;テニスコート;;court de tennis
N5;では;;donc, alors, et bien
N5;デパート;;centre commercial
N3;デモ;;démonstration, manifestion politique
N5;でも;;mais, cependant
N1;てもと;手元;dans la main, sous la main, à la maison
N1;デモンストレーション;;démonstration, manifestation politique
N1;テレックス;;télex
N5;テレビ;;télévision
N1;てんか;天下;le monde, le public, le pays dans son ensemble, descente des cieux (dans le bouddhisme)
N1;てんで;;complètement, entièrement
N3;テント;;tente
N2;てんのう・すめらぎ;天皇;Empereur du Japon
N2;テンポ;;tempo, rythme
N5;ドア;;porte (style occidental)
N5;トイレ;;toilettes
N5;どういたしまして;"どう致しまして""";il n'y a pas de quoi, de rien
N2;どうせ;;après tout, de toute manière, en tout cas
N5;どうぞ;;s'il vous plaît
N1;どうにか;;d'une manière ou d'une autre
N5;どうも;;merci
N1;どうもありがとうございます;;merci
N1;とかく;兎角・左右;faire des choses variées, faire ceci et cela, être apte à
N1;とがめる;咎める [一段];blâmer, aggraver (une blessure), menacer, contester, trouver à redire
N2;どきどき;;battement de cœur rapide, pulsation
N2;とく;溶く [亓段];diluer (de la peinture), brouiller (des œufs), dissoudre
N3;ところで;;au fait, à propos
N1;としごろ;年頃;âge approximatif, âge de se marrier (en particulier pour une femme), âge adulte
N2;どっと;;soudainement
N1;とっぱする;突破する;pénétrer, franchir
N3;トップ;;premier, en tête
N1;ととのえる;整える [一段];arranger, mettre en ordre, préparer, organiser, collecter des fonds
N2;とどまる・とまる;留まる [亓段];rester (à un endroit), demeurer, être limité à
N3;とばす;飛ばす [亓段];s'envoler, être projeté, omettre, ignorer, répandre(une rumeur)
N5;とまる・とどまる;止まる・留まる [亓段];s'arrêter, faire une pause se percher, se jucher, se poser
N3;とめる;留める・止める [一段];arrêter, se concentrer sur, prêter attention à, se rappeler, garder à l'esprit, rester (dans un lieu, à un endroit)
N1;ドライ;;sec
N1;ドライクリーニング;;nettoyage à sec
N3;ドライブ;;voyage en voiture
N1;ドライブイン;;service au volant (restaurant, cinéma), drive-in
N3;トラック;;camion, piste (de course, d'un CD)
N1;トラブル;;ennuis, problèmes
N3;ドラマ;;programme TV de fiction, drame
N1;トランジスター;;transistor
N3;トランプ;;cartes à jouer
N1;とりたてる;取り立てる [一段];exiger, ramasser de l'argent, extorquer, nommer, promouvoir
N1;とりつぐ;取り次ぐ [亓段];annoncer quelqu'un, transmettre un message, représenter quelqu'un
N1;ドリル;;exercice, perceuse
N2;とる;採る [亓段];adopter (une mesure, une proposition), cueillir (un fruit), attraper (un insecte), prélever (un échantillon)
N2;トレーニング;;entraînement
N3;ドレス;;robe
N3;とれる;取れる [一段];être enlevé, disparaitre, être attrapé, être récolté, être interprêté
N3;トン;;tonne
N1;どんかん;鈍感;bête, idiot
N1;とんだ;;inimaginable, inconcevable, inattendu
N3;とんでもない;;impossible !, hors de question !, absolument pas !,n'importe quoi !
N5;どんな;;quel genre ?
N3;どんなに;;comment ?, combien ?
N3;トンネル;;tunnel
N2;どんぶり;丼;bol en porcelaine, bol de riz avec de la garniture au dessus
N5;ない;無い;qui n'existe pas, qui n'est pas là, qui n'est pas possédé
N2;ないか;内科;médecine générale, département de la médecine interne (dans un hôpital)
N1;ないしん;内心;pensées les plus intimes de quelqu'un, véritables sentiments
N1;ナイター;;match en soirée (comme du baseball)
N5;ナイフ;;couteau
N2;ナイロン;;nylon
N2;なおす;直す;suffixe pour exprimer le fait qu'on retente une action
N3;ながす;流す [亓段];faire couler, verser (des larmes…), répandre, faire circuler
N5;なく;鳴く [亓段];chanter (oiseau), aboyer, miauler, grogner (pangolin)...
N2;なにぶん;何分;de toute façon, s'il vous plaît (pour insister sur une demande)
N3;なにも;何も;rien (+ verbe au négatif), aucun, et tout le reste (+ nom avec も)
N1;ナプキン;;serviette de table, serviette
N1;なまぐさい;生臭い;qui sent la viande ou le poisson cru, qui a l'odeur de quelque chose de mauvais
N2;なまける;怠ける [一段];négliger, ne pas s'occuper de (en parlant d'un travail)
N1;なめる;嘗める [一段];lécher, sucer, endurer (une épreuve difficile), se moquer de, traiter avec mépris
N1;なりたつ;成り立つ [亓段];être composé de, consister en, être valide, être fondé sur, être valable
N5;なる;成る [亓段];devenir, se changer en, être composé de, être constitué de
N1;なんか;;des choses comme, des trucs comme (souvent péjoratif)
N1;ナンセンス;;un peu, d'une manière ou d'une autre, d'une certaine façon
N1;なんだか;何だか;un peu, d'une manière ou d'une autre, d'une certaine façon
N2;なんて;;des choses comme, des trucs tels que
N2;なんとも;何とも;rien (+ verbe au négatif), complètement (+ affirmatif), pas le moindre
N2;ナンバー;;numéro, nombre
N3;にあう;似吅う [亓段];ressembler, correspondre, convenir, aller bien ensemble
N2;におう;匂う [亓段];sentir (bon ou mauvais), être parfumé, rougeoyer, luire
N2;にこにこ;;sourire
N4;について;;à propos de
N3;にっこり;;avec le sourire
N1;になう;担う [亓段];porter sur ses épaules, prendre sur soi (une erreur, un échec…), épauler une arme
N3;にほん・にっぽん;日本 np;Japon
N1;ニュー;;nouveau
N1;にゅうしょうする;入賞する;remporter un prix, gagner un prix
N1;にんじょう;人情;compassion, empathie, sympathie, nature humaine, sens commun
N2;ね・ねえ;;n'est ce pas ?, interjection pour demander la confirmation de l'interlocuteur
N1;ねいろ;音色;ton (d'une couleur ou d'un son), timbre (d'une voix), son d'un synthétiseur
N1;ネガ;;négatif d'une photo
N5;ネクタイ;;cravate
N1;ねだる;強請る [亓段];taquiner, amadouer, demander avec insistance,solliciter
N2;ネックレス;;collier
N3;ねんげつ・としつき;年月;mois et années
N1;ノイローゼ;;névrose
N3;ノー;;non
N5;ノート;;calepin, cahier, note
N3;のこす;残す [亓段];laisser de côté, léguer, sauvegarder, garder en réserve
N3;のせる;乗せる・載せる [一段];charger (des bagages), embarquer, déposer quelqu'un en voiture, mentionner, publier (une annonce)
N3;ノック;;névrose
N3;のびる;伸びる・延びる [一段];s'étendre, s'allonger, pousser (les cheveux, la barbe…), être reporté, être prolongé
N2;のぼり;上り;ascension, montée, train qui part en direction d'une métropole
N1;のりこむ;乗り込む [亓段];embarquer (dans un avion, un bateau…), monter dans (une voiture)
N5;のる;乗る [亓段];monter (dans un véhicule), prendre (un train),embarquer (dans un avion, un bateau)
N2;のる;載る [亓段];apparaître dans (un registre, un annuaire, un dictionnaire...), figurer dans la liste de
N2;のろい;鈍い;émoussé, idiot, stupide, tardif, lent
N2;のろのろ;;doucement, lentement
N2;のんき;呑気 ;imprudent, insouciant, optimiste, tranquille
N3;のんびり;;sans souci, à loisir
N1;バー;;"bar"""
N3;パーセント;;pour cent
N5;パーティー;;fête
N5;はい;;oui
N3;バイオリン;;violon
N3;ハイキング;;promenade, randonnée
N1;はいけい;拝啓;Cher Mr/Mme… (formule de politesse employée au début d'une lettre)
N3;パイプ;;tube, tuyau
N3;パイロット;;pilote
N2;はきはき;;clairement, avec lucidité, de façon efficace
N2;バケツ;;seau
N1;はげむ;励む [亓段];faire tout son possible pour, s'efforcer de, travailler assidûment
N3;はし;端;baguettes pour manger
N1;パジャマ;;pyjama
N5;バス;;bus
N3;パス;;chemin, passe (dans un jeu de balle)
N4;はず;筈;suffixe pour indiquer qu'une chose est presque sûre, qu'elle doit être ainsi
N3;パスポート;;passeport
N1;はずむ;弾む [亓段];bondir, sauter, jaillir, rebondir, être stimulé, être encouragé, être joyeux
N5;バター;;beurre
N1;パチンコ;;pachinko (billard électronique vertical)
N1;はつがする;発芽する;bourgeonner, se développer (pour un arbre, une plante…)
N4;はっきり;;clairement, distinctement
N2;バック;;arrière, dos, soutien
N3;バッグ;;sac
N1;バッジ;;badge
N3;ばったり;;d'un coup, soudainement, sans attendre
N1;バット;;batte (de base-ball), chauve-souris
N1;パトカー;;voiture de police
N2;はなしかける;話し掛ける [一段];accoster (quelqu'un), engagenr la conversation, adresser la parole à quelqu'un
N2;はなしちゅう;話中;accoster (quelqu'un), engagenr la conversation, adresser la parole à quelqu'un
N1;はばむ;阻む [亓段];empêcher quelqu'un de faire quelque chose, arrêter, contenir, gêner, opposer
N1;はまる;填まる [亓段];aller dans, tomber dans, être pris dans, convenir, s'adapter
N2;はめる;填める [一段];insérer, emboîter, faire rentrer, mettre, faire l'amour
N1;ばらまく;散蒔く [亓段];disséminer, éparpiller, disperser, jeter son argent par les fenêtres
N2;はりきる;張り切る [亓段];disséminer, éparpiller, disperser, jeter son argent par les fenêtres
N3;バン;;van
N5;ばん;晩;soir, soirée
N5;パン;;pain
N1;ハンガー;;hangar, cintre
N5;ハンカチ;;mouchoir
N3;ハンサム;;beau, joli
N1;はんする;反する;s'opposer à , se révolter, se rebeller, aller à l'encontre de
N2;はんせい;反省;introspection, méditation, contemplation,reconsidération
N2;パンツ;;sous-vêtements, culotte, slip
N1;はんてい;判定 ;jugement, décision, verdict
N2;バンド;;groupe (de musique)
N2;はんとう;;péninsule
N2;ハンドバッグ;;sac à main
N2;ハンドル;;poignée, guidon
N4;ピアノ;;"piano"""""
N1;ひいては;;pas seulement… mais aussi, en plus de
N3;ビール;;bière
N1;ビールス;;virus
N1;ひかえる;控える [一段];se retenir, se modérer, se restreindre, prendre des notes
N2;ぴかぴか;;étincelle, scintillement
N5;ひく;引く [亓段];jouer d'un instrument à corde, dessiner (ligne)
N3;ピクニック;;pique-nique
N1;ビジネス;;business
N2;ピストル;;pistolet, revolver
N2;ビタミン;;vitamine
N2;ひっかける;引っ掛ける [一段];accrocher quelque chose, suspendre, attraper, enfiler en vitesse (des vêtements)
N2;ひっくりかえる;引っ繰り返る [亓段];se retourner, basculer par-dessus, tomber, être renversé
N2;ひつじゅひん;必需品;articles indispensables, articles de première nécessité
N3;ぴったり;;exactement, précisément, avec soin
N3;ビデオ;;vidéo
N2;ビニール;;vinyle
N2;ひねる;捻る [亓段];tourner (un interrupteur), tordre, essayer de comprendre, se creuser la tête
N1;ひょっと;;par hasard, possiblement, par accident
N1;びり;;dernier sur la liste, le fond de quelque chose (une pièce par exemple)
N4;ビル;;immeuble
N3;ピン;;épingle
N1;びんかん;;sensible, susceptible
N2;ピンク;;rose (couleur)
N1;ヒント;;indice
N2;ぶ;部;département, catégorie, partie, compteur pour les exemplaires (d'un magazine, d'un journal…)
N1;ファイル;;fichier
N2;ファスナー;;fermeture éclair
N1;ファン;;admirateur, fan, ventilateur
N1;フィルター;;filtre (audio, d'appareil photo)
N5;フィルム;;film
N1;ブーツ;;bottes
N1;ブーム;;période de forte croissance, engouement
N5;プール;;piscine
N1;フェリー;;ferry
N5;フォーク;;fourchette
N1;フォーム;;écume, mousse
N1;ぶかぶか;;trop gros, large
N1;ブザー;;sonnerie, buzzer
N2;ふさがる;塞がる [亓段];être obstrué, être bouché, être encombré, être occupé
N2;ぶさた;無沙汰;ne pas rester en contact avec quelqu'un, absence de nouvelles durant un long moment
N2;ふぞくする;付属する;appartenir à, être rattaché à, être lié à, être associé à
N1;ふっかつ;復活;reprise (d'un film, d'une musique), restauration, résurrection
N2;ぶつぶつ;;grognement, plainte à voix basse
N2;ふみきり;踏切;croisement de chemin de fer, passage à niveau, ligne de départ
N2;フライパン;;poêle à frire
N2;ブラウス;;chemisier
N2;ぶらさげる;ぶら下げる [一段];suspendre, faire osciller, balancer
N2;ブラシ;;brosse
N3;プラス;;plus
N2;プラスチック;;plastique
N2;プラットホーム;;quai d'une gare
N1;ふらふら;;étourdi, chancelant
N1;ぶらぶら;;oisivement, paresseusement, sans but, en flânant
N3;プラン;;plan, projet
N2;フリー;;gratuit, libre
N2;プリント;;imprimé, polycopié
N3;ふる;振る [亓段];agiter, secouer, remuer, distribuer (un rôle à un acteur)
N3;ブレーキ;;frein
N4;プレゼント;;cadeau
N3;プロ;;professionnel
N2;ブローチ;;broche
N1;ふろく;付録;annexe, supplément
N2;プログラム;;façade, réception (d'hôtel)
N2;ふろしき;風呂敶;carré de tissu noué par les coins
N1;フロント;;façade, réception (d'hôtel)
N1;ぶんぎょう;分業;division du travail, production en ligne d'assemblage, spécialisation
N1;ぶんさん;分散;dispersion, décentralisation, variance (en statistiques)
N1;ふんだん;;abondant, somptueux
N1;ペア;;paire, poire
N2;へいかい;閉会;fin (d'une réunion, d'un évènement, d'une cérémonie)
N2;へいこう;平行;parallèle, en même temps, simultané, dans la même direction
N5;ページ;;page
N1;ベース;;base
N1;へきえきする;辟易する;grimacer, reculer, être déconcerté, être effrayé
N1;ぺこぺこ;;avoir faim
N2;へこむ;凹む [亓段];être cabossé, être bosselé, s'effondrer, céder, s'enfoncer
N1;ベストセラー;;best-seller
N5;ベッド;;le meilleur, le mieux
N2;ベテラン;;vétéran
N2;ヘリコプター;;hélicoptère
N4;ベル;;cloche
N3;ベルト;;ceinture
N5;ペン;;stylo
N3;ペンキ;;peinture
N3;ベンチ;;banc
N2;ペンチ;;pince, tenailles
N1;ボイコット;;boycott
N1;ポイント;;point
N1;ぼうか;;防火
N2;ぼうだい;;膨大
N3;ボーイ;;garçon, serveur
N1;ホース;;tuyau
N1;ポーズ;;pose, pause
N3;ボート;;bateau
N2;ボーナス;;bonus
N3;ホーム;;"""maison, quai d'une gare"
N1;ホール;;trou, hall
N3;ボール;;balle, bol
N5;ボールペン;;stylo-bille
N5;ポケット;;poche
N1;ぼこう;母校;école ou université dans laquelle une personne a fait ses études (alma mater)
N1;ポジション;;position
N2;ポスター;;affiche, poster
N2;ポスト;;boîte aux lettres, courrier, poste de travail
N5;ボタン;;bouton
N1;ほっと;;se sentir soulagé
N1;ポット;;pot, vase
N1;ほっぺた;頬っぺた ;joue
N1;ぼつぼつ;;petit à petit, peu à peu, bouton
N1;ぼつらく;没落;ruine, chute, déclin, perdition, écroulement
N5;ホテル;;hôtel
N1;ボルト;;volt
N1;ほんかく;本格;procédure ou méthode originale, règles fondamentales
N1;ポンプ;;pompe
N3;ぼんやりする;;être étourdi, distrait, évanoui, flou
N3;まあ;;eh bien…
N1;マーク;;marque, signe
N3;マーケット;;marché
N2;まあまあ;;comme-ci comme-ça, moyen, interjection utilisée pour calmer quelqu'un
N3;マイク;;micro
N1;マイクロホン;;microphone
N5;まいとし・まいねん;毎年・毎年;tous les ans
N3;まかせる;任せる [一段];confier, laisser faire, charger quelqu'un de faire quelque chose, continuer quelque chose sans but particulier
N2;まごまごする;;être confus
N3;まさか;;pas possible !, pas moyen !, en aucun cas !
N1;まじえる;交える [一段];combiner, associer à, échanger (des mots, des tirs…), croiser (des épées), mélanger
N1;まして;況して;et encore moins (précédé d'un verbe négatif), sans parler de
N2;マスク;;masque
N1;マスコミ;;communication de masse
N3;まずしい;貧しい;pauvre
N3;マスター;;maîtriser, apprendre, maître
N5;また;;à plus tard
N1;またがる;跨がる [亓段];s'étendre sur, chevaucher, enfourcher (un cheval, une moto…)
N4;まだは;;ou, autrement
N1;マッサージ;;massage
N3;まったく;全く;complètement, entièrement, totalement, vraiment,effectivement
N1;まばたき;瞬き;lin d'œil, scintillement (des étoiles), clignotement (d'une lumière)
N2;マフラー;;longue écharpe, silencieux (pour une moto, une voiture…)
N4;まま;;tel quel, comme, parce que
N2;まよう;迷う [亓段];se perdre, s'égarer, être perplexe, être fasciné par,hésiter
N3;まるで;丸で;entièrement, complètement, comme si, pour ainsi dire
N2;マンション;;hôtel particulier, immeuble résidentiel de standing
N2;み;;suffixe pour nominaliser des adjectifs, notamment ceux relatifs aux sens ou aux lieux (exemple : 甘い,doux donnera 甘み, douceur)
N1;み;味;compteur pour la nourriture, les boissons, les médicaments
N1;みあい;見吅い;entrevue formelle en vue d'un mariage
N2;みあげる;見上げる [一段];regarder vers le haut, regarder en levant les yeux, admirer
N1;みあわせる;見吅わせる [一段];échanger des regards, se regarder l'un l'autre, ajourner, suspendre les opérations
N4;みえる;見える [一段];être visible, apparaître, sembler
N3;みおくり;見送り;adieux, raccompagnement de quelqu'un (à la gare, à l'aéroport...)
N2;ミシン;;machine à coudre
N1;みじん;微塵;particule, atome
N3;ミス;;erreur, échec, mademoiselle, mythe
N1;ミスプリント;;erreur typographique, coquille
N1;ミセス;;madame, Mme
N4;みそ;味噌;miso (plat traditionnel japonais consistant en une pâte fermentée et salée)
N2;みたい;;comme, similaire à, ressemblant à
N3;みちる;満ちる [一段];être plein, être rempli, monter (en parlant de la marée), mûrir, expirer
N3;みとめる;認める [一段];reconnaître, apprécier, observer, remarquer, admettre, approuver
N1;みのうえ;身の上;vie (de quelqu'un), situation (d'une personne), passé, histoire personnelle
N1;みのがす;見逃す [亓段];rater (un évènement, une action…), ne pas voir,manque
N1;みのまわり;身の回り;les environs, les affaires, la vie quotidienne de quelqu'un
N2;みまいする;見舞いする;prendre des nouvelles de quelqu'un malade, envoyer une lettre de rétablissement
N1;ミュージック;;musique
N2;ミリメートル;;millimètre
N3;ミルク;;lait
N1;ムード;;humeur, état d'esprit, atmosphère
N3;むかえ;迎え;rencontre, accueil, le fait d'aller à la rencontre de quelqu'un
N4;むかえる;迎える [一段];accueillir, recevoir, accepter quelqu'un, aller à l'encontre de, aller chercher quelqu'un
N1;むやみに;無闇に;déraisonnablement, de façon ridicule, de manière inconsciente
N2;むれ;群;groupe d'animaux (troupeau, essaim…), groupe, grappe (de fleurs), amas (d'étoiles)
N5;め;目;compteur des numéros d'ordre (suffixe en -ième comme dans deuxième)
N2;めい;名;compteur pour les personnes (notamment pour les réservation, les nombres de place…) (hon)
N3;めいじる;命じる [一段];ordonner, commander, nommer (quelqu'un à un poste)
N1;めいちゅう;命中;coup, le fait de frapper quelque chose qui était l'objectif
N1;メーカー;;fabricant
N2;メーター;;compteur (d'eau, de gaz par exemple), mètre
N5;メートル;;mètre
N1;めくる;捲る [亓段];feuilleter, tourner des pages, retrousser ses manches
N1;めす;召す [亓段];appeler, porter (un vêtement), prendre (un bain), attraper (un rhume), boire, acheter
N2;めっきり;;remarquablement, sensiblement
N1;メッセージ;;message
N1;メディア;;médias
N2;メニュー;;menu
N2;めまい;;vertige, étourdissement
N3;メモ;;note, memo
N1;メロディー;;mélodie
N3;メンバー;;membre
N1;めんぼく・めんもく;面目;honneur, réputation, prestige, dignité, face (que l'on peut perdre ou sauver)
N3;もうしこむ;申し込む [亓段];faire une demande de, souscrire, s'abonner, demander (une interview, un entretien)
N2;モーター;;moteur
N1;モーテル;;motel
N5;もしもし;;hallo (au téléphone)
N2;モダン;;moderne
N1;もちきり;持ち切り;sujet très débattu, sujet de discussion dont on ne fait que parler
N2;もったいない;勿体ない;trop bien, plus que nécessaire, qui consomme beaucoup, gaspilleur
N5;もっと;;plus
N2;モデル;;modèle
N1;モニター;;écran d'ordinateur
N2;モノレール;;monorail
N2;もみじ・こうよう;紅葉;érable, couleurs d'automne
N1;もよおす;催す [亓段];tenir (une réunion), donner (un dîner), développer les symptômes de, montrer les signes de, se sentir malade
N3;やく;訳;traduction, version (traduction d'une langue étrangère vers la langue maternelle du traducteur)
N1;やけに;;extrêmement, terriblement, désespérément
N1;やしなう;養う [亓段];élever (des animaux, des enfants…), cultiver, subvenir aux besoins de
N2;やっと;;enfin
N4;やっぱり・やはり;;"comme je le pensais"""
N3;やとう;雇う [亓段];embaucher, employer, louer (un moyen de transport)
N4;やむ;止む [亓段];cesser, s'arrêter (en parlant de la pluie, la neige...),être terminé
N1;ややこしい;;déroutant, embrouillé, compliqué, complexe
N1;ヤング;;jeune
N3;ユーモア;;humour
N3;ゆずる;譲る [亓段];transmettre, assigner, céder (quelque chose à quelqu'un)
N5;ゆっくり;;lentement, tranquillement
N2;ゆでる;茹でる [一段];faire bouillir
N1;ゆとり;;liberté de manœuvre, marge
N1;ユニーク;;unique
N1;ユニフォーム;;uniforme
N2;よいしょ;;expression qui indique un effort, ho ! hisse !
N1;ようけん;用件;business, affaires (économiques), choses qui doivent être faites
N3;ヨーロッパ;;Europe
N4;よくいらっしゃいました;;vous voilà donc, vous voilà !
N1;よこづな;横綱;yokozuna (rang le plus élevé que peut atteindre un lutteur de sumo)
N1;よし;;raison, cause, signification
N2;よせる;寄せる [一段];approcher, évoquer
N3;ヨット;;yacht
N2;よみがえる;蘇る [亓段];être ressuscité, être restauré, être ramené, être rappelé
N2;より;;plus de, plus que, de, par
N1;ライス;;riz
N3;ライター;;briquet, écrivain, motard
N2;らくだい;落第;échec à un examen, le fait de laisser tomber un cours
N3;ラケット;;raquette
N5;ラジオ;;radio
N2;ラッシュアワー;;heure de pointe
N1;ラベル;;étiquette, label
N2;らん;欄;colonne de journal, champ (dans un formulaire, une page web…)
N2;ランニング;;course à pied, débardeur
N1;ランプ;;lampe, lumière, rampe
N1;リード;;mener, aller devant, être en tête, lecture
N1;りじゅん;利潤;profit, gain, bénéfice, intérêt
N2;リズム;;rythme
N2;リットル;;litre
N2;リボン;;ruban
N2;りゅう;流;manière (de), méthode (de), style (de), courant de pensée
N1;りゅうつう;流通;circulation de monnaie ou de bien, flux monétaire ou de marchandises
N1;りょうかい;了解;compréhension, consentement,bien reçu (pour un ordre)
N1;りょうきょく;両極;les deux extrémités, les deux pôles (nord et sud,positif et négatif...)
N1;了承する;;prendre en compte, prendre en considération
N1;りれき;履歴;histoire personnelle, antécédents, origine,formation, passé
N1;ルーズ;;desserré, dénoué, ample
N1;ルール;;règle
N2;るすばん;留守番;personne qui s'occupe d'un logement pendant que le propriétaire n'est pas là, concierge
N2;るすばんする;留守番する;prendre soin d'une maison pendant que le ropriétaire n'est pas là
N1;れいたん;冷淡;indifférent, dénué d'intérêt, froid (en parlant d'une mbiance)
N1;レース;;course, dentelle
N4;れきし;歴史;histoire
N2;レジャー;;loisir
N5;レストラン;;restaurant
N3;れつ;列;queue, file d'attente, ligne, file
N3;れっしゃ;列車;train (ordinaire)
N1;レッスン;;cours, leçon
N2;れっとう;列島;archipel
N1;レディー;;dame, prêt
N1;レバー;;levier, foie
N2;レベル;;niveau
N3;レポート・リポート;;"compte-rendu, rapport"""
N1;レンジ;;gamme, choix, cuisinière
N2;レンズ;;lentille optique
N1;レンタカー;;voiture de location
N1;れんちゅう;連中;groupe de personnes, collègues, compagnons
N1;レントゲン;;rayons-X
N1;ろうりょく;労力;labeur, travail, effort
N1;ロープ;;corde
N1;ロープウェイ;;téléphérique
N3;ロケット;;fusée, médaillon
N1;ろこつ;露骨;direct, franc, évident, manifeste, visible, suggestif, indécent
N2;ロビー;;hall (d'hôtel, de bâtiment…)
N1;ロマンチック;;romantique
N2;ろん;論;discussion, débat, théorie, doctrine, dissertation, essai littéraire
N3;わ;輪;cercle, anneau, boucle, compteur pour les roues et les fleurs
N5;ワイシャツ;;chemise
N3;ワイン;;vin
N2;わえい;和英;japonais-anglais (comme un dictionnaire par exemple)
N1;ワット;;watt
N1;わび;侘び;beauté de la simplicité, terme japonais décrivant un concept esthétique associé à la solitude, la beauté et la simplicité
N2;ワンピース;;robe
