Niveau;Titre;Nom;Description;Construction;Exemples
N5;という;"と言う (という) : appelé ~; nommé ~; du nom de ~; qui s'appelle ~";"Permet d'apporter une précision sur quelque chose en liant 2 noms 

Le nom précédent と言う représente quelque chose de particulier; un élément précis dans un ensemble 
Le nom suivant と言う représente cet ensemble De manière informelle : って (forme abrégée de と言う)";Nom + という + nom;"Ｐ．Ｓ．という文字は何を表していますか。
Que représente les lettres P.
S.
? 「衛星」という単語にいくつの意味を見つけることが出来るだろうか。
Combien de sens peux-tu trouver pour le mot 'satellite' ? ＆という記号は、et を指す。
Le symbole '&' signifie 'et'.
佐藤さんという人があなたに会うために待っています。
Un certain Mr Sato est en train d'attendre pour vous rencontrer.
"
N5;とおもいます et どうおもいます;と思います (とおもいます) et どう思います : donner son opinion et demander un avis;"と思います : pour exprimer son avis; son opinion personnelle 
どう思います : pour demander l'avis de quelqu'un d'autre";"Verbe ou adjectif en -い + と思います 
Nom ou adjectif en -な + だと思います 
Nom + を + どう思いますか 
Nom + について + どう思いますか";"列車はすぐに来ると思います。
Je pense que le train va bientôt arriver.
君は正しいと思いますが。
Je pense que tu as juste.
医者だと思います。
Je pense qu' il est docteur.
彼は幸福だと思います。
Je crois qu'il est heureux.
彼の新作の小説をどう思いますか。
Que penses-tu de son nouveau roman ? 日本の経済についてどう思いますか。
Que penses-tu de l'économie japonaise ?"
N5;つもりです;つもりです : exprimer l'intention;Pour montrer que l'on a l'intention de réaliser une action;Verbe à la forme neutre + つもりです On conjugue です au temps voulu;"来週海へ行くつもりです。
J'ai l'intention d'aller à la mer la semaine prochaine.
私は成功するつもりだった。
J'avais l'intention de réussir.
"
N5;Verbe -た + ことがある;verbe -た + ことがある : indiquer une expérience;Pour indiquer une expérience personnelle Peut se traduire par : avoir déjà fait ~;Verbe à la forme passé neutre (-た) + ことがある;"野球をしたことがありますか。
As-tu déjà joué au baseball ? 香港は一度行ったことがあります。
Je suis déjà allé une fois à Hong-Kong.
"
N5;Verbe -た + りします;Verbe -た + りします : série d'actions non-exhaustives;Utiliser pour citer une série non exhaustive d'actions Faire ~ et ~ et ~ entre autres;Liste des verbes à la forme passé neutre + り (-たり) puis する à la fin conjugué au temps voulu;"そうですね、テレビを見たり昼寝をしたり近くの公園を散歩したりしました。
Et bien; j'ai regardé la TV; fait une sieste et je suis allé me promener au parc voisin entre autres.
母は一日中料理をしたり、洗濯したりするのに忙しい。
Du fait qu'elle fasse entre autres et la lessive et la cuisine au cours de la journée; notre mère est occupée.
"
N5;Verbe -て + いる;Verbe -て + いる : forme progressive;"Aspect duratif Pour exprimer une action continue dans le temps : être en train de faire ~ 
Aspect itératif Pour indiquer la répétition d'une action avec un verbe plus une notion de fréquence L'action est répétée; s'effectue avec une certaine fréquence 
Aspect perfectif On décrit le résultat d'un évènement (avec un verbe intransitif) 
L'aspect perfectif décrit une sorte d'évènement passé qui a lieu jusqu'à maintenant 
On porte notre intérêt sur le résultat de l'action et non sur l'action en elle-même
 On sait que l'action passée est encore valable au moment où le locuteur parle";Verbe à la forme en -て + いる;"母は雑誌を読んでいる。
Ma mère est en train de lire un magazine.
毎年多くの人々が自動車事故で亡くなっている。
Un grand nombre de personnes meurent chaque année dans des accidents de voiture.
彼女が来られなかった理由を知っていますか。
Connais-tu la raison qui l'a empêchée de venir ? その博物館は月曜から金曜まで開いています。
Ce musée est ouvert du lundi au vendredi.
"
N5;Verbe -て + から;Verbe -て + から : après avoir ~;"Sert à indiquer une succession d'évènements dans le temps Peut se traduire par : après avoir ~; ~";Verbe à la forme en -て + から;"父は手術をしてから体調が良い。
Mon père est en bonne santé après s'être fait opéré.
彼女はこの会社に入ってから２度昇進した。
Elle a été promue deux fois après être entrée dans cette entreprise.
彼は仕事を終えてから道具を片づけた。
Après avoir terminé son travail; il rangea ses outils.
"
N5;を;"を : particule pour indiquer l'objet direct; marquer le COI au causatif; indiquer un lieu traversé";"Permet d'indiquer l'objet direct (ce qui reçoit l'action du verbe) 
Avec un verbe transitif au causatif; を permet d'indiquer le COI 
S'utilise également avec des verbes de déplacement pour signifier : le long de; au travers de; sortir de (d'un tunnel d'un bus.
";Nom + を;"母はいつも家で着物を着ている。
Ma mère porte tout le temps un kimono à la maison.
本を読むとき、辞書を使います。
Quand je lis un livre; j'utilise un dictionnaire.
私はバスを降りるとき彼が通りを横断するのを見つけた。
Je l'ai vu traverser la rue quand je descendais du bus.
彼は毎日公園を走る。
Il court au parc chaque jour.
鳥は空を飛びます。
Des oiseaux volent dans le ciel.
彼らは狭い道を歩いていった。
Ils marchèrent le long d'une rue étroite.
"
N5;や;や : liste incomplète de choses;"Peut se traduire par la conjonction ""et"" afin de faire une liste de choses 
Cette liste est dire ouverte; c'est-à-dire qu'elle est non-exhaustive; non complète 
Cette liste peut se traduire par : ~ et ~ et ~ entre autre";Nom + や + nom;"新鮮な果物や野菜は健康によい。
Les fruits et légumes frais sont bons pour la santé.
地震や洪水は天災です。
Les tremblements de terre et les inondations sont des catastrophes naturelles.
"
N5;よ;よ : particule d'affirmation et d'insistance;"Particule de fin de phrase ajoutant une nuance de sens 
Parmi ces sens; on peut avoir : 

affirmer quelque chose en essayant de convaincre et de donner de la certitude à ses propos montrer une certaine 
insistance après une phrase exprimant un ordre ou un désir  S'utilise quasi-exclusivement à l'oral";Phrase + よ;"この問題はそれよりやさしいよ。
Ce problème est plus facile que ça ! 明日の朝八時に電話をかけるよ。
J'appellerai demain matin à 8h sans faute.
"
N5;より;より : particule pour indiquer l'origine ou désigner le point de référence dans une comparaison;"1er sens
 Indique l'origine de quelque chose; au même titre que la particule から 
 より est plus utilisé dans un style littéraire et est moins courant que から 
Peut se traduire par : à partir de ~; de ~ 

2ème sens Permet de spécifier le référentiel lors d'une comparaison 
Peut se traduire par : par rapport à ~; que ~";Nom + より;"この電車は柏よりさき各駅に止まります。
Ce train s'arrête à toutes les stations à partir de Kashiwa.
彼はお父さんより背が高い。
Il est plus grand que mon père.
彼は町の誰よりも金持ちだ。
Il est plus riche que quiconque de cette ville.
"
N5;より et のほうが;より et のほうが : le comparatif;"Sert pour faire des comparaisons de supériorité avec des adjectifs en い ou en な 
Le comparant est suivi par la particule より Le comparé est suivi par は ou の方が (のほうが)";"Nom + は + nom + より(も) + adjectif en い ou en な 

Nom + のほうが + nom + より + adjectif en い ou en な";"黄金は鉄より重い。
L'or est plus lourd que le fer.
今年は去年よりも寒い。
Il fait plus froid cette année que l'année dernière.
兄より弟のほうが背が高い。
Le frère cadet est plus grand que l'ainé.
"
